educacao_Higher education,educacao_Incomplete higher,educacao_Lower secondary,educacao_Secondary / secondary special,estado_civil_Married,estado_civil_Separated,estado_civil_Single / not married,estado_civil_Widow,idade,mau,posse_de_imovel_Y,posse_de_veiculo_Y,possui_celular,possui_email,possui_fone,possui_fone_comercial,qt_pessoas_residencia,qtd_filhos,sexo_M,tempo_emprego,tipo_renda_Pensioner,tipo_renda_State servant,tipo_renda_Student,tipo_renda_Working,tipo_residencia_House / apartment,tipo_residencia_Municipal apartment,tipo_residencia_Office apartment,tipo_residencia_Rented apartment,tipo_residencia_With parents
False,False,False,True,True,False,False,False,56.16986301369863,False,True,True,1,0,1,0,2.0,0,True,12.191780821917808,False,False,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,56.16986301369863,False,True,True,1,0,1,0,2.0,0,True,12.191780821917808,False,False,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,56.16986301369863,False,True,True,1,0,1,0,2.0,0,True,12.191780821917808,False,False,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,43.18082191780822,False,True,True,1,0,0,0,4.0,2,False,8.693150684931506,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,43.18082191780822,False,True,True,1,0,0,0,4.0,2,False,8.693150684931506,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,43.18082191780822,False,True,True,1,0,0,0,4.0,2,False,8.693150684931506,False,False,False,True,True,False,False,False,False
False,False,False,True,False,False,False,False,44.41643835616439,False,True,False,1,0,0,0,3.0,1,False,19.44931506849315,False,True,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,34.0027397260274,False,True,False,1,1,0,0,4.0,2,False,4.857534246575343,False,False,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,34.0027397260274,False,True,False,1,1,0,0,4.0,2,False,4.857534246575343,False,False,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,34.0027397260274,False,True,False,1,1,0,0,4.0,2,False,4.857534246575343,False,False,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,34.0027397260274,False,True,False,1,1,0,0,4.0,2,False,4.857534246575343,False,False,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,34.0027397260274,False,True,False,1,1,0,0,4.0,2,False,4.857534246575343,False,False,False,False,True,False,False,False,False
False,False,False,True,False,False,False,True,55.3041095890411,False,True,False,1,0,0,0,1.0,0,False,-1000.6657534246576,True,False,False,False,True,False,False,False,False
True,False,False,False,False,True,False,False,46.61917808219178,False,True,False,1,0,0,0,1.0,0,False,3.690410958904109,False,False,False,False,False,False,False,True,False
True,False,False,False,False,True,False,False,46.61917808219178,False,True,False,1,0,0,0,1.0,0,False,3.690410958904109,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,True,False,42.51780821917808,False,True,False,1,0,0,0,1.0,0,False,8.860273972602739,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,True,False,42.51780821917808,False,True,False,1,0,0,0,1.0,0,False,8.860273972602739,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,True,False,42.51780821917808,False,True,False,1,0,0,0,1.0,0,False,8.860273972602739,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,True,False,42.51780821917808,False,True,False,1,0,0,0,1.0,0,False,8.860273972602739,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,True,False,42.51780821917808,False,True,False,1,0,0,0,1.0,0,False,8.860273972602739,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,True,False,42.51780821917808,False,True,False,1,0,0,0,1.0,0,False,8.860273972602739,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,True,False,42.51780821917808,False,True,False,1,0,0,0,1.0,0,False,8.860273972602739,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,True,False,42.51780821917808,False,True,False,1,0,0,0,1.0,0,False,8.860273972602739,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,True,False,42.51780821917808,False,True,False,1,0,0,0,1.0,0,False,8.860273972602739,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,True,False,42.51780821917808,False,True,False,1,0,0,0,1.0,0,False,8.860273972602739,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,True,False,42.51780821917808,False,True,False,1,0,0,0,1.0,0,False,8.860273972602739,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,True,False,42.51780821917808,False,True,False,1,0,0,0,1.0,0,False,8.860273972602739,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,True,False,42.51780821917808,False,True,False,1,0,0,0,1.0,0,False,8.860273972602739,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,True,False,42.51780821917808,False,True,False,1,0,0,0,1.0,0,False,8.860273972602739,False,False,False,False,False,False,False,True,False
True,False,False,False,True,False,False,False,37.37534246575343,False,False,False,1,0,1,0,2.0,0,False,13.276712328767124,False,False,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,37.37534246575343,False,False,False,1,0,1,0,2.0,0,False,13.276712328767124,False,False,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,37.37534246575343,False,False,False,1,0,1,0,2.0,0,False,13.276712328767124,False,False,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,28.27671232876712,False,True,False,1,0,0,0,3.0,1,True,7.693150684931507,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,48.72602739726028,False,True,True,1,0,0,0,2.0,0,False,4.69041095890411,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,48.72602739726028,False,True,True,1,0,0,0,2.0,0,False,4.69041095890411,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,48.72602739726028,False,True,True,1,0,0,0,2.0,0,False,4.69041095890411,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,48.72602739726028,False,True,True,1,0,0,0,2.0,0,False,4.69041095890411,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,48.72602739726028,False,True,True,1,0,0,0,2.0,0,False,4.69041095890411,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,43.90958904109589,False,True,False,1,0,1,0,2.0,0,True,2.4356164383561643,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,61.14794520547945,False,True,False,1,0,0,0,2.0,0,False,-1000.6657534246576,True,False,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,61.14794520547945,False,True,False,1,0,0,0,2.0,0,False,-1000.6657534246576,True,False,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,61.14794520547945,False,True,False,1,0,0,0,2.0,0,False,-1000.6657534246576,True,False,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,61.14794520547945,False,True,False,1,0,0,0,2.0,0,False,-1000.6657534246576,True,False,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,61.14794520547945,False,True,False,1,0,0,0,2.0,0,False,-1000.6657534246576,True,False,False,False,True,False,False,False,False
False,False,False,True,False,True,False,False,45.43013698630137,False,True,True,1,0,1,1,1.0,0,False,3.271232876712329,False,False,False,True,True,False,False,False,False
False,False,False,True,False,True,False,False,45.43013698630137,False,True,True,1,0,1,1,1.0,0,False,3.271232876712329,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,51.85205479452055,False,True,False,1,0,1,1,2.0,0,True,17.194520547945206,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,51.85205479452055,False,True,False,1,0,1,1,2.0,0,True,17.194520547945206,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,51.85205479452055,False,True,False,1,0,1,1,2.0,0,True,17.194520547945206,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,51.85205479452055,False,True,False,1,0,1,1,2.0,0,True,17.194520547945206,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,51.85205479452055,False,True,False,1,0,1,1,2.0,0,True,17.194520547945206,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,51.85205479452055,False,True,False,1,0,1,1,2.0,0,True,17.194520547945206,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,51.85205479452055,False,True,False,1,0,1,1,2.0,0,True,17.194520547945206,False,False,False,True,True,False,False,False,False
True,False,False,False,True,False,False,False,42.31232876712329,False,True,False,1,1,0,0,4.0,2,False,8.526027397260274,False,True,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,42.31232876712329,False,True,False,1,1,0,0,4.0,2,False,8.526027397260274,False,True,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,42.31232876712329,False,True,False,1,1,0,0,4.0,2,False,8.526027397260274,False,True,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,42.31232876712329,False,True,False,1,1,0,0,4.0,2,False,8.526027397260274,False,True,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,42.31232876712329,False,True,False,1,1,0,0,4.0,2,False,8.526027397260274,False,True,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,42.31232876712329,False,True,False,1,1,0,0,4.0,2,False,8.526027397260274,False,True,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,42.31232876712329,False,True,False,1,1,0,0,4.0,2,False,8.526027397260274,False,True,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,54.41369863013698,False,True,True,1,1,0,0,2.0,0,False,29.70684931506849,False,False,False,False,True,False,False,False,False
False,True,False,False,False,False,False,False,51.18356164383562,False,False,False,1,0,0,0,2.0,0,False,-1000.6657534246576,True,False,False,False,False,False,False,True,False
True,False,False,False,True,False,False,False,30.12876712328767,False,True,False,1,1,0,0,4.0,2,False,6.271232876712329,False,False,False,True,True,False,False,False,False
True,False,False,False,True,False,False,False,30.12876712328767,False,True,False,1,1,0,0,4.0,2,False,6.271232876712329,False,False,False,True,True,False,False,False,False
True,False,False,False,True,False,False,False,30.12876712328767,False,True,False,1,1,0,0,4.0,2,False,6.271232876712329,False,False,False,True,True,False,False,False,False
True,False,False,False,True,False,False,False,30.12876712328767,False,True,False,1,1,0,0,4.0,2,False,6.271232876712329,False,False,False,True,True,False,False,False,False
True,False,False,False,True,False,False,False,30.12876712328767,False,True,False,1,1,0,0,4.0,2,False,6.271232876712329,False,False,False,True,True,False,False,False,False
False,False,False,True,False,False,True,False,24.27671232876712,False,True,False,1,0,0,1,1.0,0,True,2.4356164383561643,False,False,False,True,True,False,False,False,False
False,False,False,True,False,False,False,False,28.63013698630137,False,True,True,1,0,0,0,2.0,0,True,5.69041095890411,False,False,False,True,True,False,False,False,False
False,False,False,True,False,False,False,False,28.63013698630137,False,True,True,1,0,0,0,2.0,0,True,5.69041095890411,False,False,False,True,True,False,False,False,False
False,False,False,True,False,False,False,False,28.63013698630137,False,True,True,1,0,0,0,2.0,0,True,5.69041095890411,False,False,False,True,True,False,False,False,False
False,True,False,False,False,False,False,False,28.12054794520548,False,True,True,1,1,1,0,2.0,0,False,8.693150684931506,False,False,False,False,False,True,False,False,False
True,False,False,False,True,False,False,False,48.56438356164384,False,True,True,1,1,1,0,3.0,1,False,1.9397260273972603,False,True,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,38.69041095890411,False,True,False,1,0,0,0,3.0,1,True,3.5232876712328767,False,False,False,True,False,False,False,False,True
True,False,False,False,False,False,False,False,27.572602739726022,False,True,False,1,1,0,0,2.0,0,False,8.693150684931506,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,56.24931506849315,False,True,False,1,0,0,0,2.0,0,True,15.6986301369863,False,False,False,True,True,False,False,False,False
True,False,False,False,True,False,False,False,40.35616438356164,False,False,True,1,0,0,0,4.0,2,True,8.189041095890412,False,False,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,40.35616438356164,False,False,True,1,0,0,0,4.0,2,True,8.189041095890412,False,False,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,37.47671232876712,False,True,False,1,1,0,0,3.0,1,False,12.03013698630137,False,False,False,False,True,False,False,False,False
True,False,False,False,False,True,False,False,36.35890410958904,False,True,False,1,0,0,0,1.0,0,False,1.5205479452054795,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,35.23013698630137,False,True,True,1,0,1,0,4.0,2,True,11.112328767123287,False,False,False,True,False,False,False,False,True
False,False,False,True,True,False,False,False,35.23013698630137,False,True,True,1,0,1,0,4.0,2,True,11.112328767123287,False,False,False,True,False,False,False,False,True
True,False,False,False,False,True,False,False,43.11506849315069,False,False,False,1,0,0,0,1.0,0,False,1.1835616438356165,False,False,False,False,False,False,False,False,True
True,False,False,False,False,True,False,False,43.11506849315069,False,False,False,1,0,0,0,1.0,0,False,1.1835616438356165,False,False,False,False,False,False,False,False,True
True,False,False,False,False,True,False,False,43.11506849315069,False,False,False,1,0,0,0,1.0,0,False,1.1835616438356165,False,False,False,False,False,False,False,False,True
True,False,False,False,False,True,False,False,43.11506849315069,False,False,False,1,0,0,0,1.0,0,False,1.1835616438356165,False,False,False,False,False,False,False,False,True
True,False,False,False,False,True,False,False,43.11506849315069,False,False,False,1,0,0,0,1.0,0,False,1.1835616438356165,False,False,False,False,False,False,False,False,True
True,False,False,False,False,True,False,False,43.11506849315069,False,False,False,1,0,0,0,1.0,0,False,1.1835616438356165,False,False,False,False,False,False,False,False,True
True,False,False,False,False,True,False,False,43.11506849315069,False,False,False,1,0,0,0,1.0,0,False,1.1835616438356165,False,False,False,False,False,False,False,False,True
True,False,False,False,False,True,False,False,43.11506849315069,False,False,False,1,0,0,0,1.0,0,False,1.1835616438356165,False,False,False,False,False,False,False,False,True
True,False,False,False,False,True,False,False,43.11506849315069,False,False,False,1,0,0,0,1.0,0,False,1.1835616438356165,False,False,False,False,False,False,False,False,True
False,False,False,True,False,False,False,True,59.37808219178082,False,True,False,1,0,0,0,1.0,0,True,-1000.6657534246576,True,False,False,False,True,False,False,False,False
False,False,False,True,False,False,False,False,26.457534246575342,False,False,False,1,0,1,1,2.0,0,False,4.273972602739726,False,False,False,True,True,False,False,False,False
True,False,False,False,True,False,False,False,43.35616438356164,False,False,True,1,0,1,1,2.0,0,True,10.191780821917808,False,False,False,True,True,False,False,False,False
True,False,False,False,True,False,False,False,43.35616438356164,False,False,True,1,0,1,1,2.0,0,True,10.191780821917808,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,53.63013698630137,False,False,False,1,0,0,0,2.0,0,False,7.947945205479452,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,53.63013698630137,False,False,False,1,0,0,0,2.0,0,False,7.947945205479452,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,53.63013698630137,False,False,False,1,0,0,0,2.0,0,False,7.947945205479452,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,53.63013698630137,False,False,False,1,0,0,0,2.0,0,False,7.947945205479452,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,53.63013698630137,False,False,False,1,0,0,0,2.0,0,False,7.947945205479452,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,53.63013698630137,False,False,False,1,0,0,0,2.0,0,False,7.947945205479452,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,53.63013698630137,False,False,False,1,0,0,0,2.0,0,False,7.947945205479452,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,53.63013698630137,False,False,False,1,0,0,0,2.0,0,False,7.947945205479452,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,35.38356164383562,False,False,False,1,0,1,0,2.0,0,False,8.695890410958905,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,35.38356164383562,False,False,False,1,0,1,0,2.0,0,False,8.695890410958905,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,35.38356164383562,False,False,False,1,0,1,0,2.0,0,False,8.695890410958905,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,62.67671232876712,False,False,True,1,1,1,0,2.0,0,False,-1000.6657534246576,True,False,False,False,True,False,False,False,False
False,True,False,False,True,False,False,False,50.2054794520548,False,False,True,1,0,0,0,2.0,0,True,3.441095890410959,False,False,False,True,False,False,False,False,False
False,True,False,False,True,False,False,False,50.2054794520548,False,False,True,1,0,0,0,2.0,0,True,3.441095890410959,False,False,False,True,False,False,False,False,False
False,True,False,False,True,False,False,False,50.2054794520548,False,False,True,1,0,0,0,2.0,0,True,3.441095890410959,False,False,False,True,False,False,False,False,False
False,True,False,False,True,False,False,False,50.2054794520548,False,False,True,1,0,0,0,2.0,0,True,3.441095890410959,False,False,False,True,False,False,False,False,False
False,True,False,False,True,False,False,False,50.2054794520548,False,False,True,1,0,0,0,2.0,0,True,3.441095890410959,False,False,False,True,False,False,False,False,False
False,True,False,False,True,False,False,False,50.2054794520548,False,False,True,1,0,0,0,2.0,0,True,3.441095890410959,False,False,False,True,False,False,False,False,False
True,False,False,False,True,False,False,False,48.14520547945205,False,False,False,1,0,1,1,2.0,0,False,15.868493150684932,False,False,False,True,True,False,False,False,False
True,False,False,False,True,False,False,False,48.14520547945205,False,False,False,1,0,1,1,2.0,0,False,15.868493150684932,False,False,False,True,True,False,False,False,False
True,False,False,False,True,False,False,False,48.14520547945205,False,False,False,1,0,1,1,2.0,0,False,15.868493150684932,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,57.40547945205479,False,False,False,1,0,1,1,2.0,0,False,23.791780821917808,False,True,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,57.40547945205479,False,False,False,1,0,1,1,2.0,0,False,23.791780821917808,False,True,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,57.40547945205479,False,False,False,1,0,1,1,2.0,0,False,23.791780821917808,False,True,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,33.78904109589041,False,False,False,1,0,1,1,2.0,0,False,2.356164383561644,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,40.18356164383562,False,False,True,1,0,0,1,2.0,0,False,2.186301369863014,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,40.18356164383562,False,False,True,1,0,0,1,2.0,0,False,2.186301369863014,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,40.18356164383562,False,False,True,1,0,0,1,2.0,0,False,2.186301369863014,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,40.18356164383562,False,False,True,1,0,0,1,2.0,0,False,2.186301369863014,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,40.18356164383562,False,False,True,1,0,0,1,2.0,0,False,2.186301369863014,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,40.18356164383562,False,False,True,1,0,0,1,2.0,0,False,2.186301369863014,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,40.18356164383562,False,False,True,1,0,0,1,2.0,0,False,2.186301369863014,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,40.18356164383562,False,False,True,1,0,0,1,2.0,0,False,2.186301369863014,False,False,False,True,True,False,False,False,False
False,True,False,False,True,False,False,False,29.07123287671233,False,False,True,1,0,1,0,2.0,0,True,2.6904109589041094,False,False,False,True,False,False,False,False,True
True,False,False,False,False,True,False,False,52.27945205479452,False,False,False,1,0,1,0,1.0,0,False,14.364383561643836,False,False,False,True,False,True,False,False,False
False,False,False,True,True,False,False,False,38.90684931506849,False,False,False,1,0,1,0,2.0,0,False,5.86027397260274,False,False,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,27.27945205479452,False,False,True,1,0,0,1,3.0,1,True,2.5232876712328767,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,27.27945205479452,False,False,True,1,0,0,1,3.0,1,True,2.5232876712328767,False,False,False,True,True,False,False,False,False
False,False,False,True,False,False,True,False,43.75342465753425,False,False,False,1,0,0,0,1.0,0,False,24.621917808219177,False,False,False,True,True,False,False,False,False
True,False,False,False,True,False,False,False,28.126027397260277,False,False,True,1,0,1,1,2.0,0,True,4.526027397260274,False,True,False,False,False,False,False,False,True
True,False,False,False,True,False,False,False,28.126027397260277,False,False,True,1,0,1,1,2.0,0,True,4.526027397260274,False,True,False,False,False,False,False,False,True
True,False,False,False,True,False,False,False,28.126027397260277,False,False,True,1,0,1,1,2.0,0,True,4.526027397260274,False,True,False,False,False,False,False,False,True
False,False,False,True,True,False,False,False,40.49589041095891,False,False,False,1,0,1,0,2.0,0,True,6.693150684931507,False,False,False,False,False,True,False,False,False
False,False,False,True,True,False,False,False,40.49589041095891,False,False,False,1,0,1,0,2.0,0,True,6.693150684931507,False,False,False,False,False,True,False,False,False
False,False,False,True,True,False,False,False,40.49589041095891,False,False,False,1,0,1,0,2.0,0,True,6.693150684931507,False,False,False,False,False,True,False,False,False
False,False,False,True,True,False,False,False,40.49589041095891,False,False,False,1,0,1,0,2.0,0,True,6.693150684931507,False,False,False,False,False,True,False,False,False
False,False,False,True,True,False,False,False,40.49589041095891,False,False,False,1,0,1,0,2.0,0,True,6.693150684931507,False,False,False,False,False,True,False,False,False
False,False,False,True,True,False,False,False,40.49589041095891,False,False,False,1,0,1,0,2.0,0,True,6.693150684931507,False,False,False,False,False,True,False,False,False
False,False,False,True,False,False,False,False,41.47945205479452,False,False,False,1,0,1,0,2.0,0,False,13.194520547945206,False,False,False,True,True,False,False,False,False
False,False,False,True,False,False,False,False,41.47945205479452,False,False,False,1,0,1,0,2.0,0,False,13.194520547945206,False,False,False,True,True,False,False,False,False
False,False,False,True,False,False,False,False,41.47945205479452,False,False,False,1,0,1,0,2.0,0,False,13.194520547945206,False,False,False,True,True,False,False,False,False
False,False,False,True,False,False,False,False,41.47945205479452,False,False,False,1,0,1,0,2.0,0,False,13.194520547945206,False,False,False,True,True,False,False,False,False
False,False,False,True,False,False,False,False,41.47945205479452,False,False,False,1,0,1,0,2.0,0,False,13.194520547945206,False,False,False,True,True,False,False,False,False
False,False,False,True,False,False,False,False,41.47945205479452,False,False,False,1,0,1,0,2.0,0,False,13.194520547945206,False,False,False,True,True,False,False,False,False
False,False,False,True,False,False,False,False,41.47945205479452,False,False,False,1,0,1,0,2.0,0,False,13.194520547945206,False,False,False,True,True,False,False,False,False
False,False,False,True,False,False,False,False,41.47945205479452,False,False,False,1,0,1,0,2.0,0,False,13.194520547945206,False,False,False,True,True,False,False,False,False
False,False,False,True,False,False,False,False,41.47945205479452,False,False,False,1,0,1,0,2.0,0,False,13.194520547945206,False,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,57.64657534246575,False,False,False,1,0,1,0,2.0,0,False,-1000.6657534246576,True,False,False,False,True,False,False,False,False
False,False,False,True,False,False,True,False,44.106849315068494,False,False,False,1,0,1,0,1.0,0,False,5.112328767123287,False,False,False,True,False,True,False,False,False
False,False,False,True,False,False,False,True,60.44109589041096,False,False,False,1,0,0,0,1.0,0,False,-1000.6657534246576,True,False,False,False,True,False,False,False,False
False,False,False,True,False,False,False,True,60.44109589041096,False,False,False,1,0,0,0,1.0,0,False,-1000.6657534246576,True,False,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,55.17808219178082,False,False,True,1,1,1,0,2.0,0,False,-1000.6657534246576,True,False,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,55.17808219178082,False,False,True,1,1,1,0,2.0,0,False,-1000.6657534246576,True,False,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,55.17808219178082,False,False,True,1,1,1,0,2.0,0,False,-1000.6657534246576,True,False,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,55.17808219178082,False,False,True,1,1,1,0,2.0,0,False,-1000.6657534246576,True,False,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,55.17808219178082,False,False,True,1,1,1,0,2.0,0,False,-1000.6657534246576,True,False,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,55.17808219178082,False,False,True,1,1,1,0,2.0,0,False,-1000.6657534246576,True,False,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,55.17808219178082,False,False,True,1,1,1,0,2.0,0,False,-1000.6657534246576,True,False,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,55.17808219178082,False,False,True,1,1,1,0,2.0,0,False,-1000.6657534246576,True,False,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False,55.17808219178082,False,False,True,1,1,1,0,2.0,0,False,-1000.6657534246576,True,False,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,57.50958904109589,False,False,True,1,0,1,0,2.0,0,True,12.95068493150685,False,False,False,True,True,False,False,False,False
True,False,False,False,True,False,False,False,57.50958904109589,False,False,True,1,0,1,0,2.0,0,True,12.95068493150685,False,False,False,True,True,False,False,False,False
True,False,False,False,True,False,False,False,57.50958904109589,False,False,True,1,0,1,0,2.0,0,True,12.95068493150685,False,False,False,True,True,False,False,False,False
True,False,False,False,True,False,False,False,57.50958904109589,False,False,True,1,0,1,0,2.0,0,True,12.95068493150685,False,False,False,True,True,False,False,False,False
